   1.0000000e+01   1.3771028e-02
   3.0000000e+01   4.4917761e-02
   5.0000000e+01   7.5248080e-02
   7.0000000e+01   1.0009907e-01
   9.0000000e+01   1.3760997e-01
   1.1000000e+02   1.6742089e-01
   1.3000000e+02   1.9420562e-01
   1.5000000e+02   2.3961402e-01
   1.7000000e+02   2.7905011e-01
   1.9000000e+02   2.9578745e-01
   2.1000000e+02   3.5549482e-01
   2.3000000e+02   3.8932875e-01
   2.5000000e+02   4.2678600e-01
   2.7000000e+02   4.4741027e-01
   2.9000000e+02   4.8705086e-01
   3.1000000e+02   5.3288845e-01
   3.3000000e+02   5.5872614e-01
   3.5000000e+02   5.8770586e-01
   3.7000000e+02   6.2850577e-01
   3.9000000e+02   6.6836409e-01
   4.1000000e+02   6.8817270e-01
   4.3000000e+02   7.2991266e-01
   4.5000000e+02   7.6703636e-01
   4.7000000e+02   8.1095264e-01
   4.9000000e+02   8.2954443e-01
